Date,HomeTeam,AwayTeam,home_xG,away_xG,home_xGA,away_xGA
2024-12-07 15:00:00,Brentford,Newcastle,1.746,1.95645,1.95645,1.746
2024-12-07 15:00:00,Crystal Palace,Man City,1.21476,1.5846,1.5846,1.21476
2024-12-07 17:30:00,Man United,Nott'm Forest,1.4697,0.651217,0.651217,1.4697
2024-12-08 14:00:00,Fulham,Arsenal,0.150988,2.4333,2.4333,0.150988
2024-12-08 14:00:00,Ipswich,Bournemouth,1.5668,3.49127,3.49127,1.5668
2024-12-08 14:00:00,Leicester,Brighton,1.42438,1.12184,1.12184,1.42438
2024-12-08 16:30:00,Tottenham,Chelsea,3.25488,2.57326,2.57326,3.25488
2024-12-09 20:00:00,West Ham,Wolves,1.19808,1.47567,1.47567,1.19808
2024-12-14 15:00:00,Arsenal,Everton,1.30865,0.132166,0.132166,1.30865
2024-12-14 15:00:00,Liverpool,Fulham,2.09698,1.2862,1.2862,2.09698
2024-12-14 15:00:00,Newcastle,Leicester,3.95461,0.186759,0.186759,3.95461
2024-12-14 17:30:00,Nott'm Forest,Aston Villa,2.2861,0.389423,0.389423,2.2861
2024-12-14 15:00:00,Wolves,Ipswich,1.23748,1.73349,1.73349,1.23748
